N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD,PRESOLVE,NUMERIC_FOCUS,FEASIBILITY_TOL,OPTIMALITY_TOL
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.6732697486877441,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.121302843093872,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1193459033966064,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1195206642150878,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1187014579772949,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.118276834487915,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1191294193267822,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1189644336700439,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1185173988342285,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1191375255584716,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1187362670898437,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1183075904846191,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1182246208190918,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1186671257019043,3,-1.0,-1.0,-1.0,-1.0
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1182420253753662,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2357378005981445,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2349987030029297,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2351963520050048,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2353427410125732,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2339465618133545,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2346184253692627,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2352271080017089,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2349328994750976,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2347302436828613,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2348465919494629,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2338545322418213,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2351455688476562,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2348139286041259,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2341716289520263,3,-1.0,-1.0,-1.0,-1.0
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2354114055633545,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6068205833435059,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.606083869934082,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6090245246887207,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6065537929534912,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6041250228881836,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6047530174255371,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6042466163635254,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6044049263000488,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6046853065490723,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6055896282196045,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6041593551635742,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6049461364746094,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6066324710845947,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6076564788818359,3,-1.0,-1.0,-1.0,-1.0
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6069045066833496,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4985568523406982,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4981117248535156,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.496873140335083,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4967379570007324,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4961013793945312,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4956669807434082,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4990012645721435,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4965338706970215,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4997425079345703,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4986095428466797,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.5002000331878662,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4999871253967285,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.5011920928955078,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.5035529136657715,3,-1.0,-1.0,-1.0,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4988133907318115,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9248485565185548,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9082098007202148,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9064545631408693,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9089562892913818,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.904759645462036,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9082691669464112,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9060535430908204,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.902841329574585,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9077320098876952,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9044311046600342,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.909620761871338,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9306952953338624,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9097108840942384,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9080319404602052,3,-1.0,-1.0,-1.0,-1.0
1,5,205117.00000000003,-205117.00000000003,4.0,7.0,0.9076733589172364,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.775571346282959,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7723534107208252,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7707102298736572,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.8010139465332031,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.774958610534668,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7725591659545898,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7659509181976318,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7570745944976809,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7858150005340576,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7609138488769531,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7606377601623535,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.762883186340332,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7560808658599854,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.76495099067688,3,-1.0,-1.0,-1.0,-1.0
1,6,290041.99999999994,-290041.99999999994,4.0,4.0,1.7870876789093018,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3026678562164306,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2999508380889892,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.300433874130249,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3032741546630859,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3034772872924804,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3043856620788574,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3025248050689697,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3037810325622558,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3062818050384521,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3026695251464844,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3017024993896484,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3028407096862793,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3019006252288818,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3078033924102783,3,-1.0,-1.0,-1.0,-1.0
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.3043293952941894,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9411232471466064,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9419853687286376,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9473190307617188,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9389629364013672,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9373950958251952,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9389336109161376,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9396357536315918,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.945502758026123,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9430863857269288,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9416818618774414,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9376711845397948,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9417824745178224,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9370367527008056,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9397802352905272,3,-1.0,-1.0,-1.0,-1.0
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.9437885284423828,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.7418060302734375,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.787680149078369,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.648336172103882,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.649030685424805,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.658761262893677,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.676038026809692,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.6628289222717285,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.585038900375366,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.565160751342773,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.562211275100708,3,-1.0,-1.0,-1.0,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.5323216915130615,3,-1.0,-1.0,-1.0,-1.0
