N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE,METHOD
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,1.076911211013794,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6177346706390381,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4649653434753418,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.468470811843872,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4552922248840332,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4569325447082519,,,,,4.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,197.2036638259888,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,173.85012793540955,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.23954725265503,,,,,1.0
5,1,,,,,,,,,,
5,1,,,,,,,,,,
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,1.0413572788238523,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4545714855194092,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.456993818283081,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4599485397338867,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4601376056671142,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4564478397369385,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4551446437835693,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4578721523284912,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4596726894378662,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4579794406890869,,,,,-1.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6193037033081055,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6230721473693848,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6202354431152344,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6233041286468506,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6230118274688721,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6243224143981934,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.622490406036377,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6224846839904785,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6210191249847412,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,19.0,30.0,0.6242682933807373,,,,,0.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4580035209655761,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4592547416687011,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4588510990142822,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4775469303131103,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4575948715209961,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4611349105834961,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4586019515991211,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4571185111999511,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4601716995239258,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4569623470306396,,,,,1.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4743657112121582,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4735684394836426,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4746351242065429,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4735088348388672,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4684288501739502,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4715094566345215,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4738602638244629,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4742202758789062,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4713680744171142,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,9.0,7.0,0.4748179912567138,,,,,2.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4612741470336914,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4585175514221191,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4606831073760986,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4611942768096924,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4612083435058594,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.460733413696289,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4601631164550781,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4588456153869629,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.459796667098999,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4626398086547851,,,,,3.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4578847885131836,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4579493999481201,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4577429294586181,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4615857601165771,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4629335403442383,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4590671062469482,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4600698947906494,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4608235359191894,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4599688053131103,,,,,4.0
1,4,145006.99999999997,-145006.99999999997,5.0,9.0,0.4596898555755615,,,,,4.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,197.7491929531097,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,197.5287892818451,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.67234826087952,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.28948712348927,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.5029821395874,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.4458873271942,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.11243963241577,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.6127824783325,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.3192887306213,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.2294774055481,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.956212759018,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.3125205039978,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.24899530410767,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.3954734802246,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.98869037628174,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.31605124473572,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.45943212509155,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.52350521087646,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.07567858695984,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.54240345954895,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.5735731124878,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.3250608444214,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.44312143325806,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.422785282135,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.89307475090027,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0676884651184,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.6717116832733,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.97715544700625,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.5370259284973,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.9595332145691,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.56117606163025,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.24275708198547,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.32112622261047,,,,,1.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.0467579364777,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.9314796924591,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,197.7339622974396,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.86028623580933,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.1147513389588,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.53882575035087,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.92332482337952,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.4085412025452,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.08852195739743,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.55816888809204,,,,,-1.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,173.7932207584381,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.86299633979797,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.00835752487183,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.15373301506042,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.93431091308594,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.47577905654907,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.47983193397522,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,175.41457891464233,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.63841581344604,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,381.0,182.0,174.90617847442627,,,,,0.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.99965262413025,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.68461775779724,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.3349506855011,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0956587791443,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.15120434761047,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.1507694721222,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.93579268455505,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,198.75123834609985,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0815007686615,,,,,1.0
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.0951840877533,,,,,1.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,2.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,3.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
5,1,,,,,,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.4404072761535645,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.400782823562622,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.395320892333984,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.392879962921143,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.388553619384766,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.397236347198486,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.39195990562439,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.386932373046875,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.375119209289551,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.38360071182251,,,,,-1.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.328317880630493,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.3224709033966064,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.944397211074829,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.342020034790039,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.325902223587036,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.308160781860352,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.313798904418945,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.348698139190674,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.311620473861694,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,171.0,161.0,5.326059103012085,,,,,0.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.381709098815918,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.375850200653076,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.3640525341033936,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.363261461257935,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.382259368896484,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.370192289352417,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.390666723251343,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.381174325942993,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.395057201385498,,,,,1.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.392105340957642,,,,,1.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2687487602233887,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2489583492279053,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.275663137435913,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.260387897491455,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.264127016067505,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2622225284576416,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2708919048309326,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2625417709350586,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.2589645385742188,,,,,2.0
2,3,0.5468484297003992,0.6151657515364247,53.0,66.0,2.271240711212158,,,,,2.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.408125638961792,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402438402175903,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.406580924987793,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402036666870117,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.416178226470947,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.417393684387207,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.405020713806152,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.4128851890563965,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.368123292922974,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.398340702056885,,,,,3.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.414534091949463,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.39427924156189,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.403247833251953,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.408267974853516,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.377082109451294,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.405553817749023,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.402947664260864,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.377188682556152,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.366816282272339,,,,,4.0
2,3,0.546848429700399,0.6151657515364246,142.0,119.0,4.380905628204346,,,,,4.0
