N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,METHOD
1,4,145007.0,-145007.0,5.0,9.0,1.1786909103393557,1
1,4,145007.0,-145007.0,5.0,9.0,0.5098834037780762,1
1,4,145007.0,-145007.0,5.0,9.0,0.5078818798065186,1
1,4,145007.0,-145007.0,5.0,9.0,0.5080487728118896,1
1,4,145007.0,-145007.0,5.0,9.0,0.5079421997070312,1
1,4,145007.0,-145007.0,5.0,9.0,0.5051577091217041,1
1,4,145007.0,-145007.0,5.0,9.0,0.5119521617889404,1
1,4,145007.0,-145007.0,5.0,9.0,0.5034148693084717,1
1,4,145007.0,-145007.0,5.0,9.0,0.508364200592041,1
1,4,145007.0,-145007.0,5.0,9.0,0.513385534286499,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.16282320022583,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1219737529754638,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1194193363189697,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1191549301147461,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1216523647308349,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1247050762176513,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1219799518585205,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1224493980407714,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1215288639068603,1
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.133030891418457,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.4005982875823974,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.3827528953552246,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.4351871013641357,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.4019479751586914,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.3810057640075683,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.383476972579956,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.4109466075897217,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.3892545700073242,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.3946003913879394,1
2,1,0.5392634111615855,0.7419654701502313,17.0,17.0,0.3904905319213867,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2437629699707031,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2434685230255127,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2407104969024658,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2419395446777343,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2393093109130859,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2407047748565673,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2391102313995361,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2406260967254638,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2428734302520752,1
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2880539894104004,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.06973481178284,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.03649020195008,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.00910258293152,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,23.84105062484741,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.16069793701172,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.012404680252075,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,23.963118076324463,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.376262187957764,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,23.97894859313965,1
4,1,0.5351128708645817,0.7650154552404693,130.0,114.0,24.57938432693481,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4385490417480469,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.396409034729004,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.44818377494812,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4583215713500977,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4800686836242676,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.5384035110473633,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4240756034851074,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.426673412322998,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.4119031429290771,1
2,2,0.5519973583443178,0.6177122974940128,52.0,44.0,1.3908514976501465,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6272768974304199,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6145505905151367,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6192479133605957,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.617335319519043,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6202514171600342,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6887924671173096,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6233029365539551,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6184329986572266,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6157448291778564,1
1,3,0.1004100122543064,0.1185325900240868,54.0,28.0,0.6240887641906738,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.696287631988525,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.699787616729736,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.419460773468018,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.740485906600952,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.628028869628906,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.508181571960449,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.612948894500732,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.666239500045776,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.568835258483887,1
2,3,0.5468484297003989,0.6151657515364246,140.0,135.0,5.496783494949341,1
4,2,,,,,,1
4,2,,,,,,1
5,1,,,,,,1
5,1,,,,,,1
3,1,,,,,,1
3,1,,,,,,1
4,2,,,,,,1
4,2,,,,,,1
5,1,,,,,,1
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.5240650177002,1
3,1,,,,,,1
3,1,0.103558376578837,0.1237810221002596,46.0,34.0,1.813354730606079,1
4,2,,,,,,1
4,2,0.5466229765799905,0.62196070693048,575.0,609.0,856.3198802471161,1
5,1,0.0978618223182011,0.1197645273392433,385.0,264.0,126.6404790878296,0
5,1,0.0978618223182011,0.1197645273392433,336.0,261.0,154.89144253730774,1
5,1,,,,,,2
5,1,,,,,,3
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,200.55290865898127,0
5,1,,,,,,1
5,1,0.0978618223182011,0.1197645273392433,262.0,313.0,199.52988839149475,0
5,1,0.09786182231820115,0.11976452733924339,385.0,264.0,127.08914709091187,1
